offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length
1,1,1,1,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,0.75,0.8,gpt-4o,1.5,0.7142857142857143,1.0,0.0,True,1,0,0.75,0.75,1
1,0,5,0,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,0.7078424462214152,0.8,gpt-4o,1.5,0.7142857142857143,707842446.2214152,0.7078424462199155,True,2,0,0.7500000000014997,1.4578424462214152,1
1,1,1,1,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.09999999999999998,0.11920292202111764,0.1050005850202648,0.4434481177049308,0.8,gpt-4o,1.5,0.7142857142857143,443448117.7049308,0.4434481177034311,True,3,0,0.7500000000029994,1.901290563926346,1
1,0,5,0,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.25,0.14359896874746003,0.1050005850202648,0.6407564735087301,0.8,gpt-4o,1.5,0.7142857142857143,640756473.50873,0.6407564735072304,True,4,0,0.7500000000044991,2.542047037435076,1
1,0,5,0,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.0,0.1050005850192648,0.1050005850202648,0.3150017550592944,0.8,gpt-4o,1.5,0.7142857142857143,315001755.0592944,0.3150017550577947,True,5,0,0.7500000000059988,2.8570487924943704,1
1,1,1,1,general,"[0.5, 0.5]","[0.3373358801411138, 0.6626641198588862]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,0.75,0.8,gpt-4o,1.5,0.7142857142857143,1.0,0.0,True,1,1,0.75,0.75,1
1,1,1,1,general,"[0.5, 0.5]","[0.37372900439184864, 0.6262709956081514]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,0.7078424462214152,0.8,gpt-4o,1.5,0.7142857142857143,707842446.2214152,0.7078424462199155,True,2,1,0.7500000000014997,1.4578424462214152,1
1,1,1,1,general,"[0.5, 0.5]","[0.2462608554963892, 0.7537391445036108]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,0.7078424462214152,0.8,gpt-4o,1.5,0.7142857142857143,707842446.2214152,0.7078424462199155,True,3,1,0.7500000000029994,2.1656848924428305,1
1,0,5,0,general,"[0.5, 0.5]","[0.5991375866224309, 0.4008624133775691]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.4,0.17201283293476138,0.1050005850202648,0.8440915555039679,0.8,gpt-4o,1.5,0.7142857142857143,844091555.5039678,0.8440915555024682,True,4,1,0.7500000000044991,3.0097764479467983,1
1,0,5,0,general,"[0.5, 0.5]","[0.07178762093411473, 0.9282123790658853]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,0.7078424462214152,0.8,gpt-4o,1.5,0.7142857142857143,707842446.2214152,0.7078424462199155,True,5,1,0.7500000000059988,3.7176188941682136,1
